Statistical profiling result from /Users/darksystem/Projects/FlowJS/isolate-0x7fc5ebb00000-5558-v8.log, (19393 ticks, 18300 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     11    0.1%          /Users/darksystem/.local/share/nvm/v20.15.0/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
    298    1.5%    1.5%  Builtin: FlattenIntoArray
    122    0.6%    0.6%  Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
     77    0.4%    0.4%  Builtin: GetProperty
     53    0.3%    0.3%  Builtin: LoadIC
     38    0.2%    0.2%  Builtin: ArrayIteratorPrototypeNext
     36    0.2%    0.2%  Builtin: KeyedLoadIC
     16    0.1%    0.1%  Builtin: KeyedStoreIC
     16    0.1%    0.1%  Builtin: FastCreateDataProperty
     15    0.1%    0.1%  Builtin: StoreFastElementIC_Standard
     13    0.1%    0.1%  Builtin: CallFunction_ReceiverIsAny
     12    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     10    0.1%    0.1%  Builtin: StrictEqual_Baseline
     10    0.1%    0.1%  Builtin: BaselineOutOfLinePrologue
      9    0.0%    0.0%  JS: ^quantizeAndInverse /Users/darksystem/Projects/FlowJS/node_modules/jpeg-js/lib/decoder.js:370:32
      9    0.0%    0.0%  JS: ^decodeACSuccessive /Users/darksystem/Projects/FlowJS/node_modules/jpeg-js/lib/decoder.js:201:32
      9    0.0%    0.0%  Builtin: StoreIC
      9    0.0%    0.0%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      9    0.0%    0.0%  Builtin: ArrayForEachLoopContinuation
      9    0.0%    0.0%  Builtin: Add_Baseline
      8    0.0%    0.0%  Builtin: KeyedLoadIC_Megamorphic
      8    0.0%    0.0%  Builtin: GrowFastSmiOrObjectElements
      8    0.0%    0.0%  Builtin: Call_ReceiverIsNotNullOrUndefined
      8    0.0%    0.0%  Builtin: BaselineLeaveFrame
      8    0.0%    0.0%  Builtin: ArrayFrom
      7    0.0%    0.0%  JS: *_drawObjects file:///Users/darksystem/Projects/FlowJS/src/engine.js:215:21
      7    0.0%    0.0%  Builtin: Call_ReceiverIsAny
      6    0.0%    0.0%  JS: *getData /Users/darksystem/Projects/FlowJS/node_modules/jpeg-js/lib/decoder.js:875:30
      6    0.0%    0.0%  JS: *decodeACSuccessive /Users/darksystem/Projects/FlowJS/node_modules/jpeg-js/lib/decoder.js:201:32
      6    0.0%    0.0%  Builtin: ArrayPrototypePush
      5    0.0%    0.0%  Builtin: LoadIC_NoFeedback
      5    0.0%    0.0%  Builtin: CompileLazy
      5    0.0%    0.0%  Builtin: Call_ReceiverIsNullOrUndefined
      4    0.0%    0.0%  JS: ^brc /Users/darksystem/Projects/FlowJS/node_modules/fast-brc/fast-brc.js:1:13
      4    0.0%    0.0%  JS: *copyToImageData /Users/darksystem/Projects/FlowJS/node_modules/jpeg-js/lib/decoder.js:999:46
      4    0.0%    0.0%  JS: *C node:internal/deps/cjs-module-lexer/dist/lexer:1:1152
      4    0.0%    0.0%  Builtin: RecordWriteSaveFP
      4    0.0%    0.0%  Builtin: KeyedLoadICBaseline
      4    0.0%    0.0%  Builtin: Call_ReceiverIsNullOrUndefined_Baseline_Compact
      3    0.0%    0.0%  JS: ^render file:///Users/darksystem/Projects/FlowJS/src/renderer.js:24:9
      3    0.0%    0.0%  JS: ^processTimers node:internal/timers:499:25
      3    0.0%    0.0%  JS: *quantizeAndInverse /Users/darksystem/Projects/FlowJS/node_modules/jpeg-js/lib/decoder.js:370:32
      3    0.0%    0.0%  JS: *brc /Users/darksystem/Projects/FlowJS/node_modules/fast-brc/fast-brc.js:1:13
      3    0.0%    0.0%  JS: *<anonymous> file:///Users/darksystem/Projects/FlowJS/src/utils.js:34:52
      3    0.0%    0.0%  Builtin: LoadICBaseline
      3    0.0%    0.0%  Builtin: LoadGlobalIC
      3    0.0%    0.0%  Builtin: KeyedHasIC
      3    0.0%    0.0%  Builtin: Increment_Baseline
      3    0.0%    0.0%  Builtin: GreaterThanOrEqual_Baseline
      3    0.0%    0.0%  Builtin: FastNewClosure
      3    0.0%    0.0%  Builtin: Call_ReceiverIsNotNullOrUndefined_Baseline_Compact
      3    0.0%    0.0%  Builtin: ArrayPrototypePop
      3    0.0%    0.0%  Builtin: ArrayMapLoopContinuation
      2    0.0%    0.0%  JS: ~wrapSafe node:internal/modules/cjs/loader:1255:18
      2    0.0%    0.0%  JS: ^texImage2D /Users/darksystem/Projects/FlowJS/node_modules/@kmamal/gl/src/javascript/webgl-rendering-context.js:3139:14
      2    0.0%    0.0%  JS: ^pushAsyncContext node:internal/async_hooks:539:26
      2    0.0%    0.0%  JS: ^newAsyncId node:internal/async_hooks:417:20
      2    0.0%    0.0%  JS: ^mapImage8Bit /Users/darksystem/Projects/FlowJS/node_modules/pngjs/lib/bitmapper.js:172:22
      2    0.0%    0.0%  JS: ^listOnTimeout node:internal/timers:519:25
      2    0.0%    0.0%  JS: ^clearImpl /Users/darksystem/Projects/FlowJS/node_modules/regl/dist/regl.js:10313:22
      2    0.0%    0.0%  JS: ^_handleEvents file:///Users/darksystem/Projects/FlowJS/src/engine.js:337:16
      2    0.0%    0.0%  JS: *wasm-function[15]
      2    0.0%    0.0%  JS: *mapImage8Bit /Users/darksystem/Projects/FlowJS/node_modules/pngjs/lib/bitmapper.js:172:22
      2    0.0%    0.0%  JS: *buildComponentData /Users/darksystem/Projects/FlowJS/node_modules/jpeg-js/lib/decoder.js:357:30
